,bottom_layers,layer_height,ironing_enabled,flow_rate_extrusion_offset_factor,material_initial_print_temperature,material_flow,material_print_temperature_layer_0,material_bed_temperature_layer_0,brim_line_count,bridge_fan_speed,retraction_extrusion_window,retraction_hop,material_print_temperature,retraction_amount,retraction_retract_speed,retraction_enable,slicing_tolerance,small_feature_speed_factor,retraction_min_travel,material_bed_temperature,speed_layer_0,speed_print,cool_fan_full_at_height,speed_support_roof,speed_topbottom,speed_travel,speed_travel_layer_0,speed_wall,retraction_count_max,speed_wall_x,support_enable,infill_wall_line_count,support_interface_enable,retraction_hop_enabled,support_tree_angle,bridge_settings_enabled,support_tree_branch_diameter_angle,speed_wall_0,limit_support_retractions,speed_ironing,infill_sparse_density,support_xy_distance_overhang,support_z_distance,top_layers,travel_avoid_distance,wall_line_count,blobs,burning,gaps,layer_misalignment,layer_separation,line_misalignment,lost_adhesion,not_labelable,over_extrusion,overall_ok,poor_bridging,stringing,under_extrusion,warping
2,84.63387827189739,130.19204095900193,90.40412187311644,66.75772487846601,190.73755053414473,62.987022694739466,13.996122671856824,247.52799622070035,227.7458859371604,63.298545228532504,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,59.08730993446143,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,63.86046030688439,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,55.67323674289772,146.3450480459615,7.707225896632594,8.15760065303874,6.078528484496538,3.5053777912810014,7.966613761488371,5.203437809865937,6.665564168416942,2.029970068969138,1.9028220402391942,5.821668376306472,3.086103425979842,6.605147390885878,5.129155709781784,5.8197710765569
3,84.63387827189739,130.19204095900193,90.40412187311644,88.85327697601603,190.73755053414473,85.95137348296238,13.996122671856824,247.52799622070035,227.7458859371604,84.86455052660006,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,81.39110697561355,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,85.81339421842235,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,80.67907590059309,146.3450480459615,7.707225896632594,7.300457795895882,6.078528484496538,3.690899642246693,7.72725261086824,5.203437809865937,6.649444524571093,2.346365444889564,1.9028220402391942,5.821668376306472,2.837134912110839,6.605147390885878,5.374035050698652,5.775206498692567
4,84.63387827189739,130.19204095900193,90.40412187311644,110.94882907356606,190.73755053414473,108.9157242711853,13.996122671856824,247.52799622070035,227.7458859371604,106.43055582466761,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,103.69490401676569,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,107.7663281299603,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,105.68491505828847,146.3450480459615,7.707225896632594,6.4433149387530255,6.078528484496538,3.876421493212385,7.487891460248108,5.203437809865937,6.633324880725244,2.6627608208099907,1.9028220402391942,5.821668376306472,2.5881663982418353,6.605147390885878,5.618914391615519,5.730641920828235
5,84.63387827189739,130.19204095900193,90.40412187311644,133.04438117111607,190.73755053414473,131.88007505940823,13.996122671856824,247.52799622070035,227.7458859371604,127.99656112273516,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,125.99870105791783,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,129.71926204149827,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,130.69075421598384,146.3450480459615,7.707225896632594,5.586172081610168,6.078528484496538,4.061943344178077,7.248530309627977,5.203437809865937,6.6172052368793945,2.979156196730417,1.9028220402391942,5.821668376306472,2.3391978843728323,6.605147390885878,5.863793732532388,5.686077342963903
6,84.63387827189739,130.19204095900193,90.40412187311644,155.13993326866608,190.73755053414473,154.84442584763116,13.996122671856824,247.52799622070035,227.7458859371604,149.5625664208027,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,148.30249809906996,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,151.67219595303624,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,155.6965933736792,146.3450480459615,7.707225896632594,4.729029224467311,6.078528484496538,4.247465195143768,7.009169159007846,5.203437809865937,6.601085593033545,3.2955515726508438,1.9028220402391942,5.821668376306472,2.0902293705038284,6.605147390885878,6.108673073449255,5.64151276509957
7,84.63387827189739,130.19204095900193,90.40412187311644,177.2354853662161,190.73755053414473,177.8087766358541,13.996122671856824,247.52799622070035,227.7458859371604,171.12857171887026,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,170.6062951402221,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,173.6251298645742,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,180.70243253137457,146.3450480459615,7.707225896632594,3.871886367324454,6.078528484496538,4.432987046109459,6.769808008387715,5.203437809865937,6.584965949187696,3.6119469485712705,1.9028220402391942,5.821668376306472,1.8412608566348254,6.605147390885878,6.353552414366124,5.5969481872352365
8,84.63387827189739,130.19204095900193,90.40412187311644,199.3310374637661,190.73755053414473,200.77312742407702,13.996122671856824,247.52799622070035,227.7458859371604,192.6945770169378,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,192.91009218137424,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,195.57806377611217,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,205.70827168906993,146.3450480459615,7.707225896632594,3.0147435101815967,6.078528484496538,4.618508897075151,6.530446857767584,5.203437809865937,6.568846305341847,3.9283423244916964,1.9028220402391942,5.821668376306472,1.592292342765822,6.605147390885878,6.598431755282991,5.552383609370905
9,84.63387827189739,130.19204095900193,90.40412187311644,221.42658956131612,190.73755053414473,223.73747821229995,13.996122671856824,247.52799622070035,227.7458859371604,214.26058231500537,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,215.21388922252638,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,217.53099768765014,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,230.7141108467653,146.3450480459615,7.707225896632594,2.157600653038739,6.078528484496538,4.804030748040842,6.291085707147452,5.203437809865937,6.552726661495997,4.244737700412123,1.9028220402391942,5.821668376306472,1.3433238288968186,6.605147390885878,6.84331109619986,5.507819031506572
10,84.63387827189739,130.19204095900193,90.40412187311644,243.52214165886613,190.73755053414473,246.70182900052288,13.996122671856824,247.52799622070035,227.7458859371604,235.82658761307292,192.40592889192413,152.84219839956245,211.68154906610852,233.03637993674977,80.87505661419523,183.39315830767362,207.3941430060016,198.48779175380926,149.7943874358241,183.24547684576848,17.971266524916533,237.5176862636785,45.11681695100686,189.88175465173182,73.99912937743935,49.632870502251734,131.17242401337853,119.01385595039372,90.96722211261486,57.47222922079072,11.169960275743339,239.4839315991881,39.343820477224696,174.17748307682592,124.42551143588268,189.91434975649338,246.71498177072354,231.2134401288957,83.08546632522875,132.2974432608351,94.46722503889157,67.86383605474006,107.34597994305548,88.11043558756481,255.0,146.3450480459615,7.707225896632594,1.4102694810463507,6.078528484496538,4.94235349217327,6.114946617005829,5.203437809865937,6.55661943903309,4.561133076332549,1.9028220402391942,5.821668376306472,1.13570046648459,6.605147390885878,7.015845835455684,5.595833608068711
13,78.52141078178165,112.92849425850802,174.03635351361876,198.82665735727286,84.52313609333986,160.9251335525402,193.931337973501,35.636883320374004,50.97659163115262,110.93728730971215,104.49406055056025,128.97876135164287,99.11783250095496,60.771752648957545,120.65198534805194,177.33825302943637,73.65811251568886,1.8773787865064056,54.837498029934416,81.9617127504956,206.71915446090082,165.28426190787823,185.9627660767906,103.27764303329937,191.63125905651023,200.66571626304528,69.9159386725289,169.5369684309682,173.69939276710093,139.08646963967158,179.81717154971545,153.14982370504546,199.08590291060182,117.02352276227668,140.73798455012866,145.0290049679879,35.64823452255265,46.177033267740484,29.205168751673227,174.31055983030726,170.44275525657028,140.83871441203115,146.9697044135495,212.89905040841182,171.15672396252793,122.65482998059362,4.4631285292030105,3.2833995076014952,2.1617305144084935,4.515895177885726,4.124808568911455,5.728721695164601,4.001072362731115,6.5124957584470655,7.325333295420009,4.798054510176872,7.266485154975591,7.195235642503197,5.753556520347651,2.9057981649366056
